partidaID,TimeID,NomeTime,PosseDEBola,Escanteios,ChutesAgol,Impedimentos,Gols
1,1,Sergipe,65,9,6,1,1
2,1,Barra,35,0,2,0,1
3,2,Dorense,55,4,1,1,0
4,2,Falcon,45,3,5,1,2
5,3,Lagarto,55,2,5,0,1
6,3,América,45,1,2,0,2
7,4,Confiança,60,6,10,2,5
8,4,Guarany,40,5,6,3,1
9,5,Itabaiana,54,8,3,1,2
10,5,Carmópolis,46,1,4,1,1
3,6,Dorense,45,1,0,2,0
6,6,América,55,5,2,2,1
2,7,Barra,43,0,1,0,1
5,7,Lagarto,57,2,6,0,4
1,8,Sergipe,47,8,2,1,2
10,8,Carmópolis,53,4,5,1,1
8,9,Guarany,46,7,3,1,1
9,9,Itabaiana,54,9,6,1,1
4,10,Falcon,53,3,6,0,1
7,10,Confiança,47,6,8,0,3
6,11,América,45,3,4,2,1
7,11,Confiança,55,3,5,0,1
2,12,Barra,41,7,2,3,0
4,12,Falcon,59,5,4,1,4
3,13,Dorense,55,3,3,1,0
10,13,Carmópolis,45,5,1,5,0
5,14,Lagarto,50,7,10,1,3
8,14,Guarany,50,1,5,3,1
1,15,Sergipe,48,7,3,0,1
9,15,Itabaiana,52,2,4,3,1
7,16,Confiança,58,5,7,3,0
10,16,Carmópolis,42,2,2,4,0
2,17,Barra,55,1,1,0,0
8,17,Guarany,55,1,3,1,0
6,18,América,45,6,5,0,0
9,18,Itabaiana,55,7,5,1,0
1,19,Sergipe,58,11,9,1,0
4,19,Falcon,42,1,1,1,0
3,20,Dorense,45,3,2,2,0
5,20,Lagarto,55,4,8,3,0
5,21,Lagarto,54,7,4,3,0
7,21,Confiança,46,6,7,3,0
1,22,Sergipe,45,5,4,0,1
3,22,Dorense,55,2,2,1,0
6,23,América,60,3,7,1,0
8,23,Guarany,40,6,3,4,0
4,24,Falcon,59,1,3,0,0
9,24,Itabaiana,41,2,6,0,0
2,25,Barra,39,5,6,1,3
10,25,Carmópolis,61,3,2,3,2
1,26,Sergipe,38,1,3,3,0
7,26,Confiança,62,6,5,4,0
5,27,Lagarto,50,0,5,0,0
9,27,Itabaiana,50,0,1,1,0
3,28,Dorense,55,2,5,0,0
8,28,Guarany,45,2,2,1,0
4,29,Falcon,57,8,7,1,0
10,29,Carmópolis,43,2,5,1,0
2,30,Barra,55,5,9,1,0
6,30,América,45,2,3,3,0
2,31,Barra,40,1,2,0,0
7,31,Confiança,60,4,12,1,0
6,32,América,50,3,6,2,0
10,32,Carmópolis,50,0,4,0,0
4,33,Falcon,45,1,2,0,0
8,33,Guarany,55,3,5,0,2
3,34,Dorense,40,3,3,1,0
9,34,Itabaiana,60,4,8,4,0
1,35,Sergipe,51,8,5,3,0
5,35,Lagarto,49,8,9,1,0
7,36,Confiança,59,7,4,1,0
9,36,Itabaiana,41,0,2,0,0
1,37,Sergipe,42,0,7,1,4
8,37,Guarany,58,2,3,1,0
5,38,Lagarto,59,6,7,3,1
10,38,Carmópolis,41,0,3,4,1
2,39,Barra,48,2,4,2,0
3,39,Dorense,52,3,7,1,2
4,40,Falcon,63,10,2,1,0
6,40,América,37,1,2,4,1
2,41,Barra,40,2,3,0,2
9,41,Itabaiana,60,2,8,1,4
3,42,Dorense,55,2,5,1,2
7,42,Confiança,45,1,2,0,1
4,43,Falcon,50,2,3,2,0
5,43,Lagarto,50,5,6,1,3
1,44,Sergipe,53,5,4,3,0
6,44,América,47,5,4,1,1
8,45,Guarany,60,3,3,1,2
10,45,Carmópolis,40,2,4,1,1
