Factor,Value,Result,Count,Total,Percentage
PosseDeBola,alta,empate,3,19,15.79
PosseDeBola,alta,derrota,5,19,26.32
PosseDeBola,alta,vitoria,11,19,57.89
PosseDeBola,baixa,empate,3,19,15.79
PosseDeBola,baixa,derrota,11,19,57.89
PosseDeBola,baixa,vitoria,5,19,26.32
PosseDeBola,media,empate,14,52,26.92
PosseDeBola,media,derrota,19,52,36.54
PosseDeBola,media,vitoria,19,52,36.54
Escanteios,muitos,empate,6,16,37.5
Escanteios,muitos,derrota,5,16,31.25
Escanteios,muitos,vitoria,5,16,31.25
Escanteios,poucos,empate,10,50,20.0
Escanteios,poucos,derrota,25,50,50.0
Escanteios,poucos,vitoria,15,50,30.0
Escanteios,medios,empate,4,24,16.67
Escanteios,medios,derrota,5,24,20.83
Escanteios,medios,vitoria,15,24,62.5
ChutesAgol,medios,empate,10,35,28.57
ChutesAgol,medios,derrota,13,35,37.14
ChutesAgol,medios,vitoria,12,35,34.29
ChutesAgol,poucos,empate,8,38,21.05
ChutesAgol,poucos,derrota,21,38,55.26
ChutesAgol,poucos,vitoria,9,38,23.68
ChutesAgol,muitos,empate,2,17,11.76
ChutesAgol,muitos,derrota,1,17,5.88
ChutesAgol,muitos,vitoria,14,17,82.35
Impedimentos,alguns,empate,9,46,19.57
Impedimentos,alguns,derrota,13,46,28.26
Impedimentos,alguns,vitoria,24,46,52.17
Impedimentos,nenhum,empate,6,23,26.09
Impedimentos,nenhum,derrota,11,23,47.83
Impedimentos,nenhum,vitoria,6,23,26.09
Impedimentos,muitos,empate,5,21,23.81
Impedimentos,muitos,derrota,11,21,52.38
Impedimentos,muitos,vitoria,5,21,23.81
Gols,1,empate,16,36,44.44
Gols,1,derrota,12,36,33.33
Gols,1,vitoria,8,36,22.22
Gols,0,empate,4,24,16.67
Gols,0,derrota,20,24,83.33
Gols,0,vitoria,0,24,0.0
Gols,2,empate,0,14,0.0
Gols,2,derrota,3,14,21.43
Gols,2,vitoria,11,14,78.57
Gols,4_ou_mais,empate,0,11,0.0
Gols,4_ou_mais,derrota,0,11,0.0
Gols,4_ou_mais,vitoria,11,11,100.0
Gols,3,empate,0,5,0.0
Gols,3,derrota,0,5,0.0
Gols,3,vitoria,5,5,100.0
