NomeTime,PosseDEBola,Escanteios,ChutesAgol,Impedimentos,Gols,resultado
Sergipe,65,9,6,1
Barra,35,0,2,0
Dorense,55,4,1,1
Falcon,45,3,5,1
Lagarto,55,2,5,0
América,45,1,2,0
Confiança,60,6,10,2
Guarany,40,5,6,3
Itabaiana,54,8,3,1
Carmópolis,46,1,4,1
América,55,5,2,2
Dorense,45,1,0,2
Barra,43,0,1,0
Lagarto,57,2,6,0
Sergipe,47,8,2,1
Carmópolis,53,4,5,1
Itabaiana,54,9,6,1
Guarany,46,7,3,1
Confiança,47,6,8,0
Falcon,53,3,6,0
Confiança,55,3,5,0
América,45,3,4,2
Falcon,59,5,4,1
Barra,41,7,2,3
Dorense,55,3,3,1
Carmópolis,45,5,1,5
Lagarto,50,7,10,1
Guarany,50,1,5,3
Sergipe,48,7,3,0
Itabaiana,52,2,4,3
Carmópolis,42,2,2,4
Confiança,58,5,7,3
Guarany,55,1,3,1
Barra,55,1,1,0
América,45,6,5,0
Itabaiana,55,7,5,1
Sergipe,58,11,9,1
Falcon,42,1,1,1
Dorense,45,3,2,2
Lagarto,55,4,8,3
Lagarto,54,7,4,3
Confiança,46,6,7,3
Dorense,55,2,2,1
Sergipe,45,5,4,0
Guarany,40,6,3,4
América,60,3,7,1
Falcon,59,1,3,0
Itabaiana,41,2,6,0
Carmópolis,61,3,2,3
Barra,39,5,6,1
Sergipe,38,1,3,3
Confiança,62,6,5,4
Lagarto,50,0,5,0
Itabaiana,50,0,1,1
Guarany,45,2,2,1
Dorense,55,2,5,0
Falcon,57,8,7,1
Carmópolis,43,2,5,1
Barra,55,5,9,1
América,45,2,3,3
Confiança,60,4,12,1
Barra,40,1,2,0
América,50,3,6,2
Carmópolis,50,0,4,0
Guarany,55,3,5,0
Falcon,45,1,2,0
Dorense,40,3,3,1
Itabaiana,60,4,8,4
Sergipe,51,8,5,3
Lagarto,49,8,9,1
Confiança,59,7,4,1
Itabaiana,41,0,2,0
Guarany,58,2,3,1
Sergipe,42,0,7,1
Lagarto,59,6,7,3
Carmópolis,41,0,3,4
Barra,48,2,4,2
Dorense,52,3,7,1
Falcon,63,10,2,1
América,37,1,2,4
Barra,40,2,3,0
Itabaiana,60,2,8,1
Dorense,55,2,5,1
Confiança,45,1,2,0
Lagarto,50,5,6,1
Falcon,50,2,3,2
Sergipe,53,5,4,3
América,47,5,4,1
Guarany,60,3,3,1
Carmópolis,40,2,4,1
